Symbol,Name,Sector,CompanyName
MMM,3M Company,Industrials,3M
AOS,A.O. Smith Corp,Industrials,A.O. Smith
ABT,Abbott Laboratories,Health Care,Abbott Lab
ABBV,AbbVie Inc.,Health Care,AbbVie
ACN,Accenture plc,Technology,Accenture
ATVI,Activision Blizzard,Technology,Activision
AYI,Acuity Brands Inc,Industrials,Acuity
ADBE,Adobe Systems Inc,Technology,Adobe
AAP,Advance Auto Parts,Consumer Goods,Advance
AMD,Advanced Micro Devices Inc,Technology,AMD
AES,AES Corp,Utilities,AES
AET,Aetna Inc,Health Care,Aetna
AMG,Affiliated Managers Group Inc,Financials,AMG
AFL,AFLAC Inc,Financials,AFLAC
A,Agilent Technologynologies Inc,Health Care,Agilent
APD,Air Products & Chemicals Inc,Materials,Air Products
AKAM,Akamai Technologynologies Inc,Technology,Akamai
ALK,Alaska Air Group Inc,Industrials,Alaska Air
ALB,Albemarle Corp,Materials,Albemarle
ARE,Alexandria Real Estate Equities Inc,Real Estate,Alexandria
ALXN,Alexion Pharmaceuticals,Health Care,Alexion
ALGN,Align Technologynology,Health Care,Align
ALLE,Allegion,Industrials,Allegion
AGN,"Allergan, Plc",Health Care,Allergan
ADS,Alliance Data Systems,Technology,Alliance
LNT,Alliant Energy Corp,Utilities,Alliant
ALL,Allstate Corp,Financials,Allstate
GOOGL,Alphabet Inc Class A,Technology,Alphabet A
GOOG,Alphabet Inc Class C,Technology,Alphabet C
MO,Altria Group Inc,Consumer Goods,Altria
AMZN,Amazon.com Inc.,Consumer Goods,Amazon.com
AEE,Ameren Corp,Utilities,Ameren
AAL,American Airlines Group,Industrials,American Airlines
AEP,American Electric Power,Utilities,American Electric
AXP,American Express Co,Financials,American Express
AIG,"American International Group, Inc.",Financials,AIG
AMT,American Tower Corp A,Real Estate,American Tower
AWK,American Water Works Company Inc,Utilities,American Water
AMP,Ameriprise Financial,Financials,Ameriprise
ABC,AmerisourceBergen Corp,Health Care,AmerisourceBergen
AME,AMETEK Inc.,Industrials,AMETEK
AMGN,Amgen Inc.,Health Care,Amgen
APH,Amphenol Corp,Technology,Amphenol
APC,Anadarko Petroleum Corp,Energy,Anadarko
ADI,"Analog Devices, Inc.",Technology,Analog
ANDV,Andeavor,Energy,Andeavor
ANSS,ANSYS,Technology,ANSYS
ANTM,Anthem Inc.,Health Care,Anthem
AON,Aon plc,Financials,Aon
APA,Apache Corporation,Energy,Apache
AIV,Apartment Investment & Management,Real Estate,Apartment Inv & Mgmt
AAPL,Apple Inc.,Technology,Apple
AMAT,Applied Materials Inc.,Technology,Applied Materials
APTV,Aptiv Plc,Consumer Goods,Aptiv
ADM,Archer-Daniels-Midland Co,Consumer Goods,Archer-Daniels-Midland
ARNC,Arconic Inc.,Industrials,Arconic
AJG,Arthur J. Gallagher & Co.,Financials,Arthur J. Gallagher
AIZ,Assurant Inc.,Financials,Assurant
T,AT&T Inc.,Telecom,AT&T
ADSK,Autodesk Inc.,Technology,Autodesk
ADP,Automatic Data Processing,Technology,Automatic Data Processing
AZO,AutoZone Inc,Consumer Goods,AutoZone
AVB,"AvalonBay Communities, Inc.",Real Estate,AvalonBay
AVY,Avery Dennison Corp,Materials,Avery
BHGE,"Baker Hughes, a GE Company",Energy,Baker Hughes
BLL,Ball Corp,Materials,Ball Corp
BAC,Bank of America Corp,Financials,BOFA
BAX,Baxter International Inc.,Health Care,Baxter
BBT,BB&T Corporation,Financials,BB&T
BDX,Becton Dickinson,Health Care,Becton
BRK.B,Berkshire Hathaway,Financials,Berkshire Hathaway
BBY,Best Buy Co. Inc.,Consumer Goods,Best Buy
BIIB,Biogen Inc.,Health Care,Biogen
BLK,BlackRock,Financials,BlackRock
HRB,Block H&R,Financials,Block H&R
BA,Boeing Company,Industrials,Boeing Company
BKNG,Booking Holdings Inc,Consumer Goods,Booking Holdings
BWA,BorgWarner,Consumer Goods,BorgWarner
BXP,Boston Properties,Real Estate,Boston Properties
BSX,Boston Scientific,Health Care,Boston Scientific
BHF,Brighthouse Financial Inc,Financials,Brighthouse Financial
BMY,Bristol-Myers Squibb,Health Care,Bristol-Myers
AVGO,Broadcom,Technology,Broadcom
BF.B,Brown-Forman Corp.,Consumer Goods,Brown-Forman
CHRW,C. H. Robinson Worldwide,Industrials,C. H. Robinson
CA,"CA, Inc.",Technology,"CA, Inc."
COG,Cabot Oil & Gas,Energy,Cabot Oil & Gas
CDNS,Cadence Design Systems,Technology,Cadence
CPB,Campbell Soup,Consumer Goods,Campbell Soup
COF,Capital One Financial,Financials,Capital One
CAH,Cardinal Health Inc.,Health Care,Cardinal Health
KMX,Carmax Inc,Consumer Goods,Carmax
CCL,Carnival Corp.,Consumer Goods,Carnival Corp.
CAT,Caterpillar Inc.,Industrials,Caterpillar
CBOE,Cboe Global Markets,Financials,Cboe
CBRE,CBRE Group,Real Estate,CBRE
CBS,CBS Corp.,Consumer Goods,CBS
CELG,Celgene Corp.,Health Care,Celgene
CNC,Centene Corporation,Health Care,Centene
CNP,CenterPoint Energy,Utilities,CenterPoint
CTL,CenturyLink Inc,Telecom,CenturyLink
CERN,Cerner,Health Care,Cerner
CF,CF Industries Holdings Inc,Materials,CF Industries
SCHW,Charles Schwab Corporation,Financials,Charles Schwab
CHTR,Charter Communications,Consumer Goods,Charter
CVX,Chevron Corp.,Energy,Chevron
CMG,Chipotle Mexican Grill,Consumer Goods,Chipotle
CB,Chubb Limited,Financials,Chubb
CHD,Church & Dwight,Consumer Goods,Church & Dwight
CI,CIGNA Corp.,Health Care,CIGNA
XEC,Cimarex Energy,Energy,Cimarex
CINF,Cincinnati Financial,Financials,Cincinnati Financial
CTAS,Cintas Corporation,Industrials,Cintas
CSCO,Cisco Systems,Technology,Cisco
C,Citigroup Inc.,Financials,Citigroup
CFG,Citizens Financial Group,Financials,Citizens Financial
CTXS,Citrix Systems,Technology,Citrix
CME,CME Group Inc.,Financials,CME
CMS,CMS Energy,Utilities,CMS
KO,Coca-Cola Company (The),Consumer Goods,Coca-Cola
CTSH,Cognizant Technologynology Solutions,Technology,Cognizant
CL,Colgate-Palmolive,Consumer Goods,Colgate-Palmolive
CMCSA,Comcast Corp.,Consumer Goods,Comcast
CMA,Comerica Inc.,Financials,Comerica
CAG,Conagra Brands,Consumer Goods,Conagra
CXO,Concho Resources,Energy,Concho
COP,ConocoPhillips,Energy,ConocoPhillips
ED,Consolidated Edison,Utilities,Consolidated Edison
STZ,Constellation Brands,Consumer Goods,Constellation Brands
GLW,Corning Inc.,Technology,Corning
COST,Costco Wholesale Corp.,Consumer Goods,Costco
COTY,"Coty, Inc",Consumer Goods,Coty
CCI,Crown Castle International Corp.,Real Estate,Crown Castle
CSRA,CSRA Inc.,Technology,CSRA
CSX,CSX Corp.,Industrials,CSX
CMI,Cummins Inc.,Industrials,Cummins
CVS,CVS Health,Consumer Goods,CVS
DHI,D. R. Horton,Consumer Goods,D. R. Horton
DHR,Danaher Corp.,Health Care,Danaher
DRI,Darden Restaurants,Consumer Goods,Darden
DVA,DaVita Inc.,Health Care,DaVita
DE,Deere & Co.,Industrials,Deere & Co.
DAL,Delta Air Lines Inc.,Industrials,Delta Air
XRAY,Dentsply Sirona,Health Care,Dentsply
DVN,Devon Energy Corp.,Energy,Devon Energy
DLR,Digital Realty Trust Inc,Real Estate,Digital Realty 
DFS,Discover Financial Services,Financials,Discover Financial
DISCA,Discovery Inc. Class A,Consumer Goods,Discovery A
DISCK,Discovery Inc. Class C,Consumer Goods,Discovery C
DISH,Dish Network,Consumer Goods,Dish Network
DG,Dollar General,Consumer Goods,Dollar General
DLTR,Dollar Tree,Consumer Goods,Dollar Tree
D,Dominion Energy,Utilities,Dominion Energy
DOV,Dover Corp.,Industrials,Dover
DWDP,DowDuPont,Materials,DowDuPont
DPS,Dr Pepper Snapple Group,Consumer Goods,Dr Pepper
DTE,DTE Energy Co.,Utilities,DTE
DUK,Duke Energy,Utilities,Duke Energy
DRE,Duke Realty Corp,Real Estate,Duke Realty
DXC,DXC Technologynology,Technology,DXC
ETFC,E*Trade,Financials,E*Trade
EMN,Eastman Chemical,Materials,Eastman
ETN,Eaton Corporation,Industrials,Eaton
EBAY,eBay Inc.,Technology,eBay
ECL,Ecolab Inc.,Materials,Ecolab
EIX,Edison Int'l,Utilities,Edison
EW,Edwards Lifesciences,Health Care,Edwards Lifesciences
EA,Electronic Arts,Technology,Electronic Arts
EMR,Emerson Electric Company,Industrials,Emerson
ETR,Entergy Corp.,Utilities,Entergy
EVHC,Envision Healthcare,Health Care,Envision Healthcare
EOG,EOG Resources,Energy,EOG
EQT,EQT Corporation,Energy,EQT
EFX,Equifax Inc.,Industrials,Equifax
EQIX,Equinix,Real Estate,Equinix
EQR,Equity Residential,Real Estate,Equity Residential
ESS,"Essex Property Trust, Inc.",Real Estate,Essex Property
EL,Estee Lauder Cos.,Consumer Goods,Estee Lauder
RE,Everest Re Group Ltd.,Financials,Everest Re
ES,Eversource Energy,Utilities,Eversource
EXC,Exelon Corp.,Utilities,Exelon
EXPE,Expedia Inc.,Consumer Goods,Expedia
EXPD,Expeditors International,Industrials,Expeditors
ESRX,Express Scripts,Health Care,Express Scripts
EXR,Extra Space Storage,Real Estate,Extra Space
XOM,Exxon Mobil Corp.,Energy,Exxon
FFIV,F5 Networks,Technology,F5 Networks
FB,"Facebook, Inc.",Technology,Facebook
FAST,Fastenal Co,Industrials,Fastenal
FRT,Federal Realty Investment Trust,Real Estate,Federal Realty
FDX,FedEx Corporation,Industrials,FedEx
FIS,Fidelity National Information Services,Technology,Fidelity
FITB,Fifth Third Bancorp,Financials,Fifth Third
FE,FirstEnergy Corp,Utilities,FirstEnergy
FISV,Fiserv Inc,Technology,Fiserv
FLIR,FLIR Systems,Technology,FLIR
FLS,Flowserve Corporation,Industrials,Flowserve
FLR,Fluor Corp.,Industrials,Fluor
FMC,FMC Corporation,Materials,FMC
FL,Foot Locker Inc,Consumer Goods,Foot Locker
F,Ford Motor,Consumer Goods,Ford
FTV,Fortive Corp,Industrials,Fortive
FBHS,Fortune Brands Home & Security,Industrials,Fortune Brands
BEN,Franklin Resources,Financials,Franklin Resources
FCX,Freeport-McMoRan Inc.,Materials,Freeport-McMoRan
GPS,Gap Inc.,Consumer Goods,Gap
GRMN,Garmin Ltd.,Consumer Goods,Garmin
IT,Gartner Inc,Technology,Gartner
GD,General Dynamics,Industrials,General Dynamics
GE,General Electric,Industrials,General Electric
GGP,General Growth Properties Inc.,Real Estate,General Growth Properties
GIS,General Mills,Consumer Goods,General Mills
GM,General Motors,Consumer Goods,General Motors
GPC,Genuine Parts,Consumer Goods,Genuine Parts
GILD,Gilead Sciences,Health Care,Gilead
GPN,Global Payments Inc.,Technology,Global Payments
GS,Goldman Sachs Group,Financials,Goldman Sachs
GT,Goodyear Tire & Rubber,Consumer Goods,Goodyear
GWW,Grainger (W.W.) Inc.,Industrials,Grainger
HAL,Halliburton Co.,Energy,Halliburton
HBI,Hanesbrands Inc,Consumer Goods,Hanesbrands
HOG,Harley-Davidson,Consumer Goods,Harley-Davidson
HRS,Harris Corporation,Technology,Harris Corp
HIG,Hartford Financial Svc.Gp.,Financials,Hartford Financial
HAS,Hasbro Inc.,Consumer Goods,Hasbro
HCA,HCA Holdings,Health Care,HCA
HCP,HCP Inc.,Real Estate,HCP
HP,Helmerich & Payne,Energy,Helmerich & Payne
HSIC,Henry Schein,Health Care,Henry Schein
HES,Hess Corporation,Energy,Hess
HPE,Hewlett Packard Enterprise,Technology,HP
HLT,Hilton Worldwide Holdings Inc,Consumer Goods,Hilton
HOLX,Hologic,Health Care,Hologic
HD,Home Depot,Consumer Goods,Home Depot
HON,Honeywell Int'l Inc.,Industrials,Honeywell
HRL,Hormel Foods Corp.,Consumer Goods,Hormel
HST,Host Hotels & Resorts,Real Estate,Host Hotels
HPQ,HP Inc.,Technology,HP
HUM,Humana Inc.,Health Care,Humana
HBAN,Huntington Bancshares,Financials,Huntington Bancshares
HII,Huntington Ingalls Industries,Industrials,Huntington Ingalls
IDXX,IDEXX Laboratories,Health Care,IDEXX
INFO,IHS Markit Ltd.,Industrials,IHS
ITW,Illinois Tool Works,Industrials,ITW
ILMN,Illumina Inc,Health Care,Illumina
